,latitude,longitude,altitude
272,37.91545833492811,-122.33430386531431,-29.39185386430472
273,37.9154586066671,-122.3343044010025,-29.396486806683242
274,37.91545884912153,-122.3343048611141,-29.391035797074437
275,37.91545912434704,-122.33430546204353,-29.3897300157696
276,37.91545941533435,-122.33430585573454,-29.399782462976873
277,37.91545973313435,-122.33430644547167,-29.399320320226252
278,37.91546002013944,-122.33430680035288,-29.40352053474635
279,37.9154603503009,-122.33430738633479,-29.403280766680837
280,37.91546061893157,-122.3343079136125,-29.400433740578592
281,37.91546097122346,-122.33430851784775,-29.4000100241974
282,37.91546128525898,-122.33430904987121,-29.399622041732073
283,37.915461558967166,-122.33430975530575,-29.398185518570244
284,37.91546180511084,-122.33431029233279,-29.40218139719218
285,37.91546211272613,-122.3343109414626,-29.400783605873585
286,37.91546220133054,-122.33431148434417,-29.39919316302985
287,37.91546235389569,-122.33431209275444,-29.397812164388597
288,37.915462595138436,-122.33431263623682,-29.398402471095324
289,37.91546285876478,-122.3343133400511,-29.398159618489444
290,37.915462981263154,-122.33431385710821,-29.39761954639107
291,37.9154632614743,-122.33431456959002,-29.3969965595752
292,37.91546355853844,-122.33431500783229,-29.396613817662
293,37.91546379067359,-122.33431571233663,-29.396314784884453
